At least,But less than,Single,Married filing jointly,Married filing separately,Head of a house hold
18100,18150,254,254,254,254
18150,18200,254,254,254,254
18200,18250,255,255,255,255
18250,18300,256,256,256,256
18300,18350,257,257,257,257
18350,18400,257,257,257,257
18400,18450,258,258,258,258
18450,18500,259,259,259,259
18500,18550,259,259,259,259
18550,18600,260,260,260,260
18600,18650,261,261,261,261
18650,18700,261,261,261,261
18700,18750,262,262,262,262
18750,18800,263,263,263,263
18800,18850,264,264,264,264
18850,18900,264,264,264,264
18900,18950,265,265,265,265
18950,19000,266,266,266,266
19000,19050,266,266,266,266
19050,19100,267,267,267,267
19100,19150,268,268,268,268
19150,19200,268,268,268,268
19200,19250,269,269,269,269
19250,19300,270,270,270,270
19300,19350,271,271,271,271
19350,19400,271,271,271,271
19400,19450,272,272,272,272
19450,19500,273,273,273,273
19500,19550,273,273,273,273
19550,19600,274,274,274,274
19600,19650,275,275,275,275
19650,19700,275,275,275,275
19700,19750,276,276,276,276
19750,19800,277,277,277,277
19800,19850,278,278,278,278
19850,19900,278,278,278,278
19900,19950,279,279,279,279
19950,20000,280,280,280,280
20000,20050,280,280,280,280
20050,20100,281,281,281,281
20100,20150,282,282,282,282
20150,20200,283,283,283,283
20200,20250,284,284,284,284
20250,20300,285,285,285,285
20300,20350,286,286,286,286
20350,20400,287,287,287,287
20400,20450,287,287,287,287
20450,20500,288,288,288,288
20500,20550,289,289,289,289
20550,20600,290,290,290,290
20600,20650,291,291,291,291
20650,20700,292,292,292,292
20700,20750,293,293,293,293
20750,20800,294,294,294,294
20800,20850,294,294,294,294
20850,20900,295,295,295,295
20900,20950,296,296,296,296
20950,21000,297,297,297,297
21000,21050,298,298,298,298
21050,21100,299,299,299,299
21100,21150,300,300,300,300
21150,21200,301,301,301,301
21200,21250,301,301,301,301
21250,21300,302,302,302,302
21300,21350,303,303,303,303
21350,21400,304,304,304,304
21400,21450,305,305,305,305
21450,21500,306,306,306,306
21500,21550,307,307,307,307
21550,21600,308,308,308,308
21600,21650,308,308,308,308
21650,21700,309,309,309,309
21700,21750,310,310,310,310
21750,21800,311,311,311,311
21800,21850,312,312,312,312
21850,21900,313,313,313,313
21900,21950,314,314,314,314
21950,22000,315,315,315,315
22000,22050,315,315,315,315
22050,22100,316,316,316,316
22100,22150,317,317,317,317
22150,22200,318,318,318,318
22200,22250,319,319,319,319
22250,22300,320,320,320,320
22300,22350,321,321,321,321
22350,22400,322,322,322,322
22400,22450,322,322,322,322
22450,22500,323,323,323,323
22500,22550,324,324,324,324
22550,22600,325,325,325,325
22600,22650,326,326,326,326
22650,22700,327,327,327,327
22700,22750,328,328,328,328
22750,22800,329,329,329,329
22800,22850,329,329,329,329
22850,22900,330,330,330,330
22900,22950,331,331,331,331
22950,23000,332,332,332,332
23000,23050,333,333,333,333
23050,23100,334,334,334,334
23100,23150,335,335,335,335
23150,23200,336,336,336,336
23200,23250,336,336,336,336
23250,23300,337,337,337,337
23300,23350,338,338,338,338
23350,23400,339,339,339,339
23400,23450,340,340,340,340
23450,23500,341,341,341,341
23500,23550,342,342,342,342
23550,23600,343,343,343,343
23600,23650,343,343,343,343
23650,23700,344,344,344,344
23700,23750,345,345,345,345
23750,23800,346,346,346,346
23800,23850,347,347,347,347
23850,23900,348,348,348,348
23900,23950,349,349,349,349
23950,24000,350,350,350,350
24000,24050,350,350,350,350
24050,24100,351,351,351,351
24100,24150,352,352,352,352
24150,24200,353,353,353,353
24200,24250,354,354,354,354
24250,24300,355,355,355,355
24300,24350,356,356,356,356
24350,24400,357,357,357,357
24400,24450,357,357,357,357
24450,24500,358,358,358,358
24500,24550,359,359,359,359
24550,24600,360,360,360,360
24600,24650,361,361,361,361
24650,24700,362,362,362,362
24700,24750,363,363,363,363
24750,24800,364,364,364,364
24800,24850,364,364,364,364
24850,24900,365,365,365,365
24900,24950,366,366,366,366
24950,25000,367,367,367,367
25000,25050,368,368,368,368
25050,25100,369,369,369,369
25100,25150,370,370,370,370
25150,25200,371,371,371,371
25200,25250,371,371,371,371
25250,25300,372,372,372,372
25300,25350,373,373,373,373
25350,25400,374,374,374,374
25400,25450,375,375,375,375
25450,25500,376,376,376,376
25500,25550,377,377,377,377
25550,25600,378,378,378,378
25600,25650,378,378,378,378
25650,25700,379,379,379,379
25700,25750,380,380,380,380
25750,25800,381,381,381,381
25800,25850,382,382,382,382
25850,25900,383,383,383,383
25900,25950,384,384,384,384
25950,26000,385,385,385,385
26000,26050,385,385,385,385
26050,26100,386,386,386,386
26100,26150,387,387,387,387
26150,26200,388,388,388,388
26200,26250,389,389,389,389
26250,26300,390,390,390,390
26300,26350,391,391,391,391
26350,26400,392,392,392,392
26400,26450,392,392,392,392
26450,26500,393,393,393,393
26500,26550,394,394,394,394
26550,26600,395,395,395,395
26600,26650,396,396,396,396
26650,26700,397,397,397,397
26700,26750,398,398,398,398
26750,26800,399,399,399,399
26800,26850,399,399,399,399
26850,26900,400,400,400,400
26900,26950,401,401,401,401
26950,27000,402,402,402,402
27000,27050,403,403,403,403
27050,27100,404,404,404,404
27100,27150,405,405,405,405
27150,27200,406,406,406,406
27200,27250,406,406,406,406
27250,27300,407,407,407,407
27300,27350,408,408,408,408
27350,27400,409,409,409,409
27400,27450,410,410,410,410
27450,27500,411,411,411,411
27500,27550,412,412,412,412
27550,27600,413,413,413,413
27600,27650,413,413,413,413
27650,27700,414,414,414,414
27700,27750,415,415,415,415
27750,27800,416,416,416,416
27800,27850,417,417,417,417
27850,27900,418,418,418,418
27900,27950,419,419,419,419
27950,28000,420,420,420,420
28000,28050,420,420,420,420
28050,28100,421,421,421,421
28100,28150,422,422,422,422
28150,28200,423,423,423,423
28200,28250,424,424,424,424
28250,28300,425,425,425,425
28300,28350,426,426,426,426
28350,28400,427,427,427,427
28400,28450,427,427,427,427
28450,28500,428,428,428,428
28500,28550,429,429,429,429
28550,28600,430,430,430,430
28600,28650,431,431,431,431
28650,28700,432,432,432,432
28700,28750,433,433,433,433
28750,28800,434,434,434,434
28800,28850,434,434,434,434
28850,28900,435,435,435,435
28900,28950,436,436,436,436
28950,29000,437,437,437,437
29000,29050,438,438,438,438
29050,29100,439,439,439,439
29100,29150,440,440,440,440
29150,29200,441,441,441,441
29200,29250,441,441,441,441
29250,29300,442,442,442,442
29300,29350,443,443,443,443
29350,29400,444,444,444,444
29400,29450,445,445,445,445
29450,29500,446,446,446,446
29500,29550,447,447,447,447
29550,29600,448,448,448,448
29600,29650,448,448,448,448
29650,29700,449,449,449,449
29700,29750,450,450,450,450
29750,29800,451,451,451,451
29800,29850,452,452,452,452
29850,29900,453,453,453,453
29900,29950,454,454,454,454
29950,30000,455,455,455,455
30000,30050,455,455,455,455
30050,30100,456,456,456,456
30100,30150,457,457,457,457
30150,30200,458,458,458,458
30200,30250,459,459,459,459
30250,30300,460,460,460,460
30300,30350,461,461,461,461
30350,30400,462,462,462,462
30400,30450,462,462,462,462
30450,30500,463,463,463,463
30500,30550,464,464,464,464
30550,30600,465,465,465,465
30600,30650,466,466,466,466
30650,30700,467,467,467,467
30700,30750,468,468,468,468
30750,30800,469,469,469,469
30800,30850,469,469,469,469
30850,30900,470,470,470,470
30900,30950,471,471,471,471
30950,31000,472,472,472,472
31000,31050,473,473,473,473
31050,31100,474,474,474,474
31100,31150,475,475,475,475
31150,31200,476,476,476,476
31200,31250,476,476,476,476
31250,31300,477,477,477,477
31300,31350,478,478,478,478
31350,31400,479,479,479,479
31400,31450,480,480,480,480
31450,31500,481,481,481,481
31500,31550,482,482,482,482
31550,31600,483,483,483,483
31600,31650,483,483,483,483
31650,31700,484,484,484,484
31700,31750,485,485,485,485
31750,31800,486,486,486,486
31800,31850,487,487,487,487
31850,31900,488,488,488,488
31900,31950,489,489,489,489
31950,32000,490,490,490,490
32000,32050,490,490,490,490
32050,32100,491,491,491,491
32100,32150,492,492,492,492
32150,32200,493,493,493,493
32200,32250,494,494,494,494
32250,32300,495,495,495,495
32300,32350,496,496,496,496
32350,32400,497,497,497,497
32400,32450,497,497,497,497
32450,32500,498,498,498,498
32500,32550,499,499,499,499
32550,32600,500,500,500,500
32600,32650,501,501,501,501
32650,32700,502,502,502,502
32700,32750,503,503,503,503
32750,32800,504,504,504,504
32800,32850,504,504,504,504
32850,32900,505,505,505,505
32900,32950,506,506,506,506
32950,33000,507,507,507,507
33000,33050,508,508,508,508
33050,33100,509,509,509,509
33100,33150,510,510,510,510
33150,33200,511,511,511,511
33200,33250,511,511,511,511
33250,33300,512,512,512,512
33300,33350,513,513,513,513
33350,33400,514,514,514,514
33400,33450,515,515,515,515
33450,33500,516,516,516,516
33500,33550,517,517,517,517
33550,33600,518,518,518,518
33600,33650,518,518,518,518
33650,33700,519,519,519,519
33700,33750,520,520,520,520
33750,33800,521,521,521,521
33800,33850,522,522,522,522
33850,33900,523,523,523,523
33900,33950,524,524,524,524
33950,34000,525,525,525,525
