At least,But less than,Single,Married filing jointly,Head of a house hold,Married filing separately
30100,30150,1605,1333,1445,1605
30150,30200,1608,1336,1448,1608
30200,30250,1611,1339,1451,1611
30250,30300,1614,1342,1454,1614
30300,30350,1618,1345,1457,1618
30350,30400,1621,1348,1460,1621
30400,30450,1624,1351,1463,1624
30450,30500,1627,1354,1466,1627
30500,30550,1631,1357,1469,1631
30550,30600,1634,1360,1472,1634
30600,30650,1637,1363,1475,1637
30650,30700,1640,1366,1478,1640
30700,30750,1643,1369,1481,1643
30750,30800,1647,1372,1484,1647
30800,30850,1650,1375,1487,1650
30850,30900,1653,1378,1490,1653
30900,30950,1656,1380,1492,1656
30950,31000,1660,1383,1495,1660
31000,31050,1663,1386,1498,1663
31050,31100,1666,1389,1501,1666
31100,31150,1669,1392,1504,1669
31150,31200,1672,1395,1507,1672
31200,31250,1676,1398,1510,1676
31250,31300,1679,1401,1513,1679
31300,31350,1682,1404,1516,1682
31350,31400,1685,1407,1519,1685
31400,31450,1689,1410,1522,1689
31450,31500,1692,1413,1525,1692
31500,31550,1695,1416,1528,1695
31550,31600,1698,1419,1531,1698
31600,31650,1702,1422,1534,1702
31650,31700,1705,1425,1537,1705
31700,31750,1708,1428,1540,1708
31750,31800,1711,1431,1543,1711
31800,31850,1714,1434,1546,1714
31850,31900,1718,1437,1549,1718
31900,31950,1721,1439,1551,1721
31950,32000,1724,1442,1554,1724
32000,32050,1727,1445,1557,1727
32050,32100,1731,1448,1560,1731
32100,32150,1734,1451,1563,1734
32150,32200,1737,1454,1566,1737
32200,32250,1740,1457,1570,1740
32250,32300,1743,1460,1573,1743
32300,32350,1747,1463,1576,1747
32350,32400,1750,1466,1579,1750
32400,32450,1753,1469,1583,1753
32450,32500,1756,1472,1586,1756
32500,32550,1760,1475,1589,1760
32550,32600,1763,1478,1592,1763
32600,32650,1766,1481,1595,1766
32650,32700,1769,1484,1599,1769
32700,32750,1772,1487,1602,1772
32750,32800,1776,1490,1605,1776
32800,32850,1779,1493,1608,1779
32850,32900,1782,1496,1612,1782
32900,32950,1785,1498,1615,1785
32950,33000,1789,1501,1618,1789
33000,33050,1792,1504,1621,1792
33050,33100,1795,1507,1624,1795
33100,33150,1798,1510,1628,1798
